procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 6090248 1660204 16486896    0    0     0   374 2959 2434 31  0 69  0  0 2018-03-21 09:06:38
 7  0  16592 6104548 1660204 16486928    0    0     0     1 2987 3324 32  0 67  0  0 2018-03-21 09:06:39
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 CET
 7  0  16592 6112508 1660204 16486940    0    0     0     0 2787 2646 31  0 69  0  0 2018-03-21 09:06:40
 7  0  16592 6118484 1660204 16486964    0    0     0     0 2883 2795 30  0 70  0  0 2018-03-21 09:06:41
 7  0  16592 6118184 1660212 16486976    0    0     0    51 2923 2697 32  0 68  0  0 2018-03-21 09:06:42
 7  0  16592 6117732 1660212 16486984    0    0     0    93 3062 3558 31  0 69  0  0 2018-03-21 09:06:43
 8  0  16592 6125224 1660212 16487000    0    0     0    82 2929 2452 30  0 69  0  0 2018-03-21 09:06:44
 7  0  16592 6130624 1660212 16487000    0    0     0    11 3142 3726 32  0 68  0  0 2018-03-21 09:06:45
 7  0  16592 6141424 1660212 16487044    0    0     0     6 3036 2866 30  0 69  0  0 2018-03-21 09:06:46
 7  1  16592 6142332 1660216 16487132    0    0     0  2591 3863 3446 32  0 67  1  0 2018-03-21 09:06:47
 7  0  16592 6143928 1660216 16487180    0    0     0   373 3172 3200 31  0 69  1  0 2018-03-21 09:06:48
 8  0  16592 6146952 1660216 16487160    0    0     0     5 3053 3320 31  0 69  0  0 2018-03-21 09:06:49
 9  0  16592 6155316 1660216 16487184    0    0     0    27 2946 3656 32  0 68  0  0 2018-03-21 09:06:50
 7  0  16592 6159368 1660216 16487192    0    0     0     6 2936 2588 30  0 69  0  0 2018-03-21 09:06:51
